,gr,data_type,condition
1956,0.0837248799211674,prediction,auto
1957,0.083725690814963,prediction,auto
1958,0.0837191940167051,prediction,auto
1959,0.0837168823667885,prediction,auto
1960,0.0837221230612421,prediction,auto
1961,0.0837349706065478,prediction,auto
1962,0.0837386490811867,prediction,auto
1963,0.0837385539957022,prediction,auto
1964,0.083732101008393,prediction,auto
1965,0.0837338579195543,prediction,auto
1966,0.0837348786161149,prediction,auto
1967,0.0837374662132933,prediction,auto
1968,0.0837401718733287,prediction,auto
1969,0.0837413018354049,prediction,auto
1970,0.083743178637249,prediction,auto
1971,0.0837421048929744,prediction,auto
1972,0.08373935330601,prediction,auto
1973,0.0837404029842854,prediction,auto
1974,0.0837362955997204,prediction,auto
1975,0.0837369474695242,prediction,auto
1976,0.0837361845182123,prediction,auto
1977,0.0837271656216017,prediction,auto
1978,0.0837338548467515,prediction,auto
1979,0.0837394901631971,prediction,auto
1980,0.0837238423179635,prediction,auto
1981,0.0837348710637969,prediction,auto
1982,0.083738443817662,prediction,auto
1983,0.0837378549289167,prediction,auto
1984,0.0837360689461237,prediction,auto
1985,0.083736853839443,prediction,auto
1986,0.083737666727087,prediction,auto
1987,0.083735445612148,prediction,auto
1988,0.0837357152354472,prediction,auto
1989,0.0837361860822507,prediction,auto
1990,0.0837363059024454,prediction,auto
1991,0.0837375479173378,prediction,auto
1992,0.0837379897964106,prediction,auto
1993,0.0837328757881125,prediction,auto
1994,0.0837316158071881,prediction,auto
1995,0.0837287303759877,prediction,auto
1996,0.083727677348255,prediction,auto
1997,0.0837294817078646,prediction,auto
1998,0.0837206576195762,prediction,auto
1999,0.0837228943324366,prediction,auto
2000,0.0837246522282756,prediction,auto
2001,0.0837208948421263,prediction,auto
2002,0.0836992923872685,prediction,auto
2003,0.0837078807849023,prediction,auto
2004,0.0837084218015197,prediction,auto
2005,0.0834861089771891,prediction,auto
2006,0.083488985140664,prediction,auto
2007,0.0834862761529828,prediction,auto
2008,0.083490083975585,prediction,auto
2009,0.0834860888550362,prediction,auto
2010,0.0834909086066449,prediction,auto
2011,0.0834892560970632,prediction,auto
2012,0.0834801230245394,prediction,auto
2013,0.0834732023448614,prediction,auto
2014,0.0834754605249911,prediction,auto
2015,0.0834753110578312,prediction,auto
2016,0.0834674853149067,prediction,auto
2017,0.0834624775886464,prediction,auto
2018,0.083469497117905,prediction,auto
2019,0.0834504486363773,prediction,auto
2020,0.0834475664903464,prediction,auto
2021,0.0834571369914239,prediction,auto
2022,0.0834665574562126,prediction,auto
2023,0.0834723121284338,prediction,auto
