items,iLB1027_lipid,iMK_draft17,iTps1432,Lavoie2020
PCW3DS_DHA_ETA_sn2,1,1,1,0
PCD5DS_MYRS_ARA_sn2,1,1,1,0
PCD5DS_PALM_ARA_sn2,1,1,1,0
PCD5DS_HDE_ARA_sn2,1,1,1,1
PCD5DS_STC_ARA_sn2,1,1,1,0
PCD5DS_LNA_ARA_sn2,1,1,1,0
PCD5DS_OLE_ARA_sn2,1,1,1,0
PCD5DS_EPA_ARA_sn2,1,1,1,1
PCD5DS_DHA_ARA_sn2,1,1,1,0
PCD5DS_MYRS_EPA_sn2,1,1,1,0
PCD5DS_PALM_EPA_sn2,1,1,1,0
PCD5DS_HDE_EPA_sn2,1,1,1,1
PCD5DS_STC_EPA_sn2,1,1,1,0
PCD5DS_LNA_EPA_sn2,1,1,1,0
PCD5DS_OLE_EPA_sn2,1,1,1,0
PCD5DS_EPA_EPA_sn2,1,1,1,1
PCD5DS_DHA_EPA_sn2,1,1,1,0
PCW3DS_MYRS_EPA_sn2,1,1,1,0
PCW3DS_PALM_EPA_sn2,1,1,1,0
PCW3DS_HDE_EPA_sn2,1,1,1,1
PCW3DS_STC_EPA_sn2,1,1,1,0
PCW3DS_LNA_EPA_sn2,1,1,1,0
PCW3DS_OLE_EPA_sn2,1,1,1,0
PCW3DS_EPA_EPA_sn2,1,1,1,1
PCW3DS_DHA_EPA_sn2,1,1,1,0
PLA2PC_MYRS_EPA,1,1,1,0
PLA2PC_PALM_EPA,1,1,1,0
PLA2PC_HDE_EPA,1,1,1,1
PLA2PC_STC_EPA,1,1,1,0
PLA2PC_OLE_EPA,1,1,1,0
PLA2PC_EPA_EPA,1,1,1,1
PLA2PC_DHA_EPA,1,1,1,0
PLA2PC_LNA_EPA,1,1,1,0
ELO5DPA,1,1,1,1
LPCAT_MYRS_DPA_sn2,1,1,1,0
LPCAT_PALM_DPA_sn2,1,1,1,0
LPCAT_HDE_DPA_sn2,1,1,1,1
LPCAT_STC_DPA_sn2,1,1,1,0
LPCAT_LNA_DPA_sn2,1,1,1,0
